,logFC,PValue,FDR
DNAJB11,-0.12,0.24,0.8
DNAJC4,0.19,0.24,0.8
EFNA4,0.27,0.24,0.8
GNPAT,-0.1,0.24,0.8
HARS2,-0.11,0.24,0.8
ITGAV,0.095,0.24,0.8
KCNJ6,0.35,0.24,0.8
LIMK1,0.24,0.24,0.8
LINC00680,-0.32,0.24,0.8
LYPLA1,-0.095,0.24,0.8
MDFIC,-0.12,0.24,0.8
MPG,0.16,0.24,0.8
MTCL1,0.2,0.24,0.8
NFS1,0.12,0.24,0.8
NOMO2,-0.17,0.24,0.8
NUFIP1,-0.2,0.24,0.8
NUP93,-0.14,0.24,0.8
OR2M3,-0.52,0.24,0.8
OSBPL6,0.31,0.24,0.8
PKP2,-0.28,0.24,0.8
PMF1-BGLAP,0.28,0.24,0.8
PTGES,0.19,0.24,0.8
RAB6A,0.1,0.24,0.8
RANGAP1,-0.1,0.24,0.8
RASAL2,-0.18,0.24,0.8
RBM25,-0.13,0.24,0.8
RNF187,0.13,0.24,0.8
RPLP2,0.17,0.24,0.8
SECISBP2,-0.13,0.24,0.8
SHPRH,0.17,0.24,0.8
SLAMF7,-0.43,0.24,0.8
SPRY2,-0.23,0.24,0.8
SRP19,0.12,0.24,0.8
STS,0.3,0.24,0.8
TAF11,-0.14,0.24,0.8
TANGO6,-0.15,0.24,0.8
TLCD3A,-0.12,0.24,0.8
TMEM170B,-0.23,0.24,0.8
TPGS2,-0.11,0.24,0.8
TTLL3,-0.19,0.24,0.8
UBE2L6,0.27,0.24,0.8
WWC1,-0.17,0.24,0.8
YJU2B,-0.22,0.24,0.8
ZNF546,-0.28,0.24,0.8
ZNF549,-0.24,0.24,0.8
ABCC10,0.17,0.25,0.8
AGAP2,0.3,0.25,0.8
CBX8,0.14,0.25,0.8
CRYZL2P,-0.22,0.25,0.8
DEFB1,-0.39,0.25,0.8
FBXO38,-0.13,0.25,0.8
H4C11,1.3,0.25,0.8
HLA-L,-0.42,0.25,0.8
KBTBD2,-0.12,0.25,0.8
LIFR,0.17,0.25,0.8
MANEA,-0.19,0.25,0.8
MS4A4E,0.24,0.25,0.8
NFE2L1,0.084,0.25,0.8
NOMO3,0.13,0.25,0.8
NTPCR,-0.11,0.25,0.8
PADI1,0.33,0.25,0.8
PCDHGA6,-0.35,0.25,0.8
PNPLA6,0.14,0.25,0.8
PPM1K,-0.35,0.25,0.8
PTGS1,-0.5,0.25,0.8
RNF121,-0.11,0.25,0.8
SAMD12,-0.19,0.25,0.8
SHISA9,-0.22,0.25,0.8
STK4,0.13,0.25,0.8
TMEFF2,-0.78,0.25,0.8
TOPBP1,-0.11,0.25,0.8
TTI2,-0.19,0.25,0.8
ADAM12,-0.35,0.25,0.81
ALG8,0.11,0.25,0.81
AMIGO3,-1.8,0.25,0.81
ANKRD33B,0.2,0.25,0.81
AP5S1,-0.13,0.25,0.81
ARHGAP33,-0.33,0.25,0.81
ATP1A1,0.12,0.25,0.81
AZIN2,0.42,0.25,0.81
B4GALNT3,-0.46,0.25,0.81
C21orf91,0.25,0.25,0.81
CAPRIN2,-0.13,0.25,0.81
CARF,0.21,0.25,0.81
CCDC18,-0.19,0.25,0.81
CCNK,-0.14,0.25,0.81
CDIPT,0.12,0.25,0.81
CIAO3,0.15,0.25,0.81
CLCC1,-0.14,0.25,0.81
CWF19L1,-0.13,0.25,0.81
DARS1,0.12,0.25,0.81
DOCK9,0.2,0.25,0.81
DRAM2,0.14,0.25,0.81
DUSP15,0.42,0.25,0.81
DZANK1,-0.28,0.25,0.81
ECI2,0.16,0.25,0.81
EDN2,-0.5,0.25,0.81
EPB41,0.16,0.25,0.81
EVC,0.25,0.25,0.81
GAR1,-0.18,0.25,0.81
GNAI3,0.1,0.25,0.81
GNB5,0.091,0.25,0.81
HAT1,-0.22,0.25,0.81
HHLA1,-0.29,0.25,0.81
IL4R,-0.17,0.25,0.81
JAZF1,0.31,0.25,0.81
JPT2,0.096,0.25,0.81
KCNV1,0.95,0.25,0.81
KNDC1,0.31,0.25,0.81
LDB1,0.1,0.25,0.81
LTBP3,0.2,0.25,0.81
MAN2A2,-0.13,0.25,0.81
MED30,0.3,0.25,0.81
MEIS3P2,0.36,0.25,0.81
MESD,-0.12,0.25,0.81
MICAL3,0.14,0.25,0.81
MRNIP,0.13,0.25,0.81
MRPL20,0.1,0.25,0.81
MSRB3,0.12,0.25,0.81
MYCBP2,0.17,0.25,0.81
NAP1L2,-0.32,0.25,0.81
NDUFA1,0.19,0.25,0.81
NPC1,-0.2,0.25,0.81
NSL1,-0.15,0.25,0.81
NUCKS1,-0.1,0.25,0.81
OAS3,-0.17,0.25,0.81
OST4,0.12,0.25,0.81
PCGF5,0.11,0.25,0.81
PKD1P3,0.25,0.25,0.81
PPP1R37,0.13,0.25,0.81
PRKX,0.17,0.25,0.81
PTAR1,-0.15,0.25,0.81
PWWP2A,0.17,0.25,0.81
QSOX2,-0.12,0.25,0.81
RAD51B,-0.29,0.25,0.81
RALGDS,0.19,0.25,0.81
RFC1,-0.13,0.25,0.81
RHOG,0.19,0.25,0.81
RNF166,0.16,0.25,0.81
RSPRY1,0.12,0.25,0.81
SAT1,-0.15,0.25,0.81
SDF2,-0.1,0.25,0.81
SFTPD,0.95,0.25,0.81
SRR,-0.21,0.25,0.81
SUPT7L,0.09,0.25,0.81
SZT2,0.18,0.25,0.81
TADA2A,-0.15,0.25,0.81
TAP1,0.14,0.25,0.81
TBC1D9,0.22,0.25,0.81
TESC,-0.25,0.25,0.81
TGIF2,0.29,0.25,0.81
TMED4,-0.093,0.25,0.81
TMEM98,-0.13,0.25,0.81
TSNARE1,0.2,0.25,0.81
UBE2E3,-0.1,0.25,0.81
UBXN10,-0.89,0.25,0.81
WASHC2C,0.14,0.25,0.81
WBP4,0.17,0.25,0.81
WDR86,0.7,0.25,0.81
WNT6,-0.92,0.25,0.81
WT1,-0.27,0.25,0.81
ZHX2,0.34,0.25,0.81
ZNF207,-0.095,0.25,0.81
ZNF324B,-0.22,0.25,0.81
ZNF596,0.5,0.25,0.81
ZNF731P,-0.2,0.25,0.81
ZNRF2P2,0.66,0.25,0.81
ACOT7,0.12,0.26,0.81
ADAT3,0.28,0.26,0.81
AIF1L,0.25,0.26,0.81
ANKRD13C,0.15,0.26,0.81
APBB3,0.2,0.26,0.81
ASAP2,0.17,0.26,0.81
ASCC1,0.11,0.26,0.81
BAIAP3,0.42,0.26,0.81
CAP2,-0.16,0.26,0.81
CARMIL3,0.34,0.26,0.81
CCDC144A,0.17,0.26,0.81
CCDC17,-0.53,0.26,0.81
CDK5RAP2,-0.12,0.26,0.81
CHST1,-0.46,0.26,0.81
COMMD2,-0.14,0.26,0.81
CXCL8,-0.27,0.26,0.81
CYB561A3,-0.1,0.26,0.81
DBP,0.3,0.26,0.81
DDX6,0.15,0.26,0.81
description:phosphodiesterase,0.88,0.26,0.81
description:zinc-finger,-0.59,0.26,0.81
DHRS13,-0.24,0.26,0.81
DNAH3,0.62,0.26,0.81
DNAJC10,-0.11,0.26,0.81
DOLPP1,-0.13,0.26,0.81
DUSP14,0.13,0.26,0.81
ECEL1,-0.72,0.26,0.81
EIF4A1,-0.13,0.26,0.81
EPCAM,-0.24,0.26,0.81
ERAP2,0.34,0.26,0.81
ETNK2,0.23,0.26,0.81
EXOC7,0.093,0.26,0.81
FANCB,-0.19,0.26,0.81
FBXO43,-0.32,0.26,0.81
FBXO8,0.17,0.26,0.81
FGFBP3,0.3,0.26,0.81
FHOD1,0.13,0.26,0.81
FIGNL2,0.37,0.26,0.81
FNDC10,0.34,0.26,0.81
FNDC3A,-0.16,0.26,0.81
FRG1HP,0.15,0.26,0.81
FRMD4A,0.33,0.26,0.81
GABRE,0.22,0.26,0.81
GALNT1,-0.18,0.26,0.81
GFOD1,-0.24,0.26,0.81
GGH,-0.15,0.26,0.81
GNL1,-0.11,0.26,0.81
GPR162,-0.3,0.26,0.81
GTPBP3,0.13,0.26,0.81
HDAC11,0.15,0.26,0.81
HMGA1,0.13,0.26,0.81
IGFBP5,-1.3,0.26,0.81
IHO1,0.54,0.26,0.81
ITGA6,-0.2,0.26,0.81
KDM2B,0.13,0.26,0.81
KRBOX4,-0.16,0.26,0.81
LONRF1,-0.22,0.26,0.81
LRRC20,0.14,0.26,0.81
LRRC42,0.13,0.26,0.81
MAN2A1,-0.11,0.26,0.81
MAPK1IP1L,-0.15,0.26,0.81
MARVELD1,0.11,0.26,0.81
METTL6,0.14,0.26,0.81
MIB2,0.18,0.26,0.81
MPV17,0.12,0.26,0.81
MST1P2,-0.39,0.26,0.81
MYH14,0.2,0.26,0.81
NANOS1,0.27,0.26,0.81
NFATC1,-0.33,0.26,0.81
NFE2L3,0.22,0.26,0.81
NOTCH3,0.17,0.26,0.81
NPIPB13,0.41,0.26,0.81
OGA,0.12,0.26,0.81
PAFAH1B2,0.09,0.26,0.81
PCOLCE2,-0.13,0.26,0.81
PLEKHB1,-0.43,0.26,0.81
POLR2E,0.14,0.26,0.81
PPP1R12C,0.14,0.26,0.81
PPP3CB,-0.1,0.26,0.81
PTEN,0.11,0.26,0.81
PXMP4,0.15,0.26,0.81
RAB1A,0.12,0.26,0.81
RASA1,0.16,0.26,0.81
ROBO1,-0.13,0.26,0.81
SAMD4A,0.34,0.26,0.81
SCAPER,-0.24,0.26,0.81
SGTB,0.15,0.26,0.81
SH3GLB2,0.14,0.26,0.81
SIK3,0.17,0.26,0.81
SLC8B1,-0.18,0.26,0.81
SLCO1A2,-0.46,0.26,0.81
SPG21,0.091,0.26,0.81
SPTY2D1,-0.097,0.26,0.81
SUN1,0.1,0.26,0.81
SVIL,0.17,0.26,0.81
SYT17,0.17,0.26,0.81
TACC1,0.14,0.26,0.81
TAF9B,-0.14,0.26,0.81
TCTA,-0.14,0.26,0.81
TM2D2,0.091,0.26,0.81
TMC6,0.22,0.26,0.81
TMEM131,-0.15,0.26,0.81
TMEM175,-0.19,0.26,0.81
TOM1L2,0.23,0.26,0.81
TPTEP2,0.36,0.26,0.81
TRIM4,0.12,0.26,0.81
TSR2,-0.11,0.26,0.81
UBR2,0.15,0.26,0.81
UHRF1BP1L,-0.15,0.26,0.81
USF1,-0.13,0.26,0.81
USP32,0.14,0.26,0.81
WRN,0.11,0.26,0.81
ZBTB8B,0.51,0.26,0.81
ZDHHC18,0.19,0.26,0.81
ZMAT5,0.22,0.26,0.81
ZNF335,-0.17,0.26,0.81
ZNF841,-0.4,0.26,0.81
ARRDC4,-0.51,0.26,0.82
BAHCC1,0.23,0.26,0.82
CCDC150,-0.29,0.26,0.82
CCZ1,-0.11,0.26,0.82
CHTF8,0.13,0.26,0.82
CYCS,0.11,0.26,0.82
EDF1,-0.11,0.26,0.82
OSTC,-0.13,0.26,0.82
PUM1,0.15,0.26,0.82
TMCO3,-0.085,0.26,0.82
TMEM237,-0.14,0.26,0.82
UBE2D1,0.12,0.26,0.82
ZNF618,0.13,0.26,0.82
AARS2,-0.15,0.27,0.82
ABCC4,0.1,0.27,0.82
ADCK5,-0.19,0.27,0.82
AGL,0.11,0.27,0.82
AIMP2,-0.11,0.27,0.82
AKNAD1,-0.68,0.27,0.82
ANO9,0.46,0.27,0.82
ARPIN-AP3S2,-0.11,0.27,0.82
ASPHD1,-0.21,0.27,0.82
ATP6V1C2,-0.51,0.27,0.82
ATXN1L,0.1,0.27,0.82
BEGAIN,0.31,0.27,0.82
BRD3,0.16,0.27,0.82
CAMKV,-0.57,0.27,0.82
CCNI,0.16,0.27,0.82
CD99,0.11,0.27,0.82
CDA,0.21,0.27,0.82
COG2,0.13,0.27,0.82
DDOST,-0.095,0.27,0.82
description:breakpoint,-0.39,0.27,0.82
DNHD1,-0.18,0.27,0.82
EID2B,-0.22,0.27,0.82
ERCC1,-0.098,0.27,0.82
ERG28,-0.12,0.27,0.82
EVA1B,0.25,0.27,0.82
FANK1,-0.37,0.27,0.82
FHL1,0.15,0.27,0.82
FRA10AC1,-0.17,0.27,0.82
FUCA1,0.16,0.27,0.82
GLT8D1,0.11,0.27,0.82
HLX,0.43,0.27,0.82
HOXB2,-0.25,0.27,0.82
HS2ST1,-0.1,0.27,0.82
INHBE,-0.47,0.27,0.82
ITM2B,-0.087,0.27,0.82
KCNH3,-0.3,0.27,0.82
LY6G5C,0.58,0.27,0.82
MAP3K3,0.12,0.27,0.82
MARCHF6,0.1,0.27,0.82
MBD3,0.14,0.27,0.82
MBNL1,0.13,0.27,0.82
MEN1,0.13,0.27,0.82
MOB1B,0.17,0.27,0.82
MOK,-0.16,0.27,0.82
MRPL37,-0.097,0.27,0.82
MTMR14,0.11,0.27,0.82
MTMR3,0.15,0.27,0.82
NEFL,-0.31,0.27,0.82
NOD1,-0.18,0.27,0.82
NPY2R,-0.93,0.27,0.82
NTN5,0.58,0.27,0.82
NUMBL,0.16,0.27,0.82
PACS1,0.18,0.27,0.82
PCDHA12,0.35,0.27,0.82
PEDS1,0.15,0.27,0.82
PI4KA,0.17,0.27,0.82
PLBD1,-0.27,0.27,0.82
PLEKHG4B,0.44,0.27,0.82
PLGRKT,-0.18,0.27,0.82
PMS1,0.13,0.27,0.82
PRKAR2B,-0.21,0.27,0.82
PTGDS,0.74,0.27,0.82
RANBP3,0.12,0.27,0.82
REPIN1,0.1,0.27,0.82
RGP1,0.15,0.27,0.82
RNF146,-0.18,0.27,0.82
RTN3,0.13,0.27,0.82
SARS1,-0.12,0.27,0.82
SHMT1,0.096,0.27,0.82
SLC16A6,0.47,0.27,0.82
SLC25A10,-0.11,0.27,0.82
SLC25A6,0.11,0.27,0.82
SLC35C2,-0.13,0.27,0.82
SMAD6,0.11,0.27,0.82
SNCA,-1.1,0.27,0.82
SNRPF,0.13,0.27,0.82
ST3GAL3,0.22,0.27,0.82
STRIP2,-0.16,0.27,0.82
STXBP1,-0.15,0.27,0.82
SURF4,-0.1,0.27,0.82
TFIP11,-0.12,0.27,0.82
THEM6,0.18,0.27,0.82
TRIP12,0.15,0.27,0.82
TSPAN33,0.21,0.27,0.82
TYK2,0.11,0.27,0.82
UBE2O,0.14,0.27,0.82
UBR3,0.12,0.27,0.82
USP48,-0.16,0.27,0.82
VPS25,-0.15,0.27,0.82
WEE1,-0.14,0.27,0.82
ZFHX2,0.6,0.27,0.82
ZNF296,0.34,0.27,0.82
ZNF512B,0.14,0.27,0.82
ZNF665,-0.31,0.27,0.82
ZNF71,0.14,0.27,0.82
ZNF839,-0.18,0.27,0.82
ZNRF3,-0.15,0.27,0.82
CBY1,-0.14,0.27,0.83
CDK5RAP1,-0.15,0.27,0.83
CENPW,-0.22,0.27,0.83
COTL1,0.16,0.27,0.83
DNAJC5,0.13,0.27,0.83
HAPLN3,-0.26,0.27,0.83
HSPBAP1,0.21,0.27,0.83
INSYN1,-0.36,0.27,0.83
KCTD13,0.18,0.27,0.83
LIN9,-0.2,0.27,0.83
MARK2,0.13,0.27,0.83
NET1,-0.14,0.27,0.83
NUP85,-0.13,0.27,0.83
RAB20,0.27,0.27,0.83
RPL13,0.15,0.27,0.83
SLC25A13,0.15,0.27,0.83
SLC5A3,0.17,0.27,0.83
TNRC6C,0.33,0.27,0.83
TRAK1,0.13,0.27,0.83
UBAP1L,0.3,0.27,0.83
YJEFN3,-0.19,0.27,0.83
ZBTB7C,0.65,0.27,0.83
ZMPSTE24,0.093,0.27,0.83
ZNF592,0.14,0.27,0.83
ABAT,-0.36,0.28,0.83
ACTR8,-0.15,0.28,0.83
ADAM8,0.27,0.28,0.83
ALKBH1,-0.15,0.28,0.83
ANK1,0.25,0.28,0.83
ANOS2P,-0.53,0.28,0.83
AP3B2,0.65,0.28,0.83
ARHGEF40,-0.15,0.28,0.83
"16,00 ARL",-0.12,0.28,0.83
ARPC4,0.088,0.28,0.83
ARSK,0.15,0.28,0.83
C19orf47,-0.13,0.28,0.83
C20orf204,-0.37,0.28,0.83
CACNG7,0.37,0.28,0.83
CALU,-0.11,0.28,0.83
CASKIN1,-0.33,0.28,0.83
CCDC184,-0.3,0.28,0.83
CCDC25,-0.1,0.28,0.83
CCDC91,0.12,0.28,0.83
CEP295,-0.16,0.28,0.83
CERCAM,0.092,0.28,0.83
CLVS1,-0.64,0.28,0.83
COX6B1,0.1,0.28,0.83
DGKG,-0.17,0.28,0.83
DUX4L4,-0.5,0.28,0.83
DYNLRB1,0.13,0.28,0.83
EHF,-0.44,0.28,0.83
EIF2B4,0.11,0.28,0.83
ELK1,0.15,0.28,0.83
ELP3,-0.14,0.28,0.83
EMC3,0.098,0.28,0.83
ESAM,0.43,0.28,0.83
F7,-0.51,0.28,0.83
FAM126A,0.1,0.28,0.83
FAM86JP,-0.23,0.28,0.83
FBXL2,-0.16,0.28,0.83
FERMT1,-0.2,0.28,0.83
FOXE1,0.16,0.28,0.83
FXYD2,-0.41,0.28,0.83
FZD6,0.13,0.28,0.83
GALNT7,-0.13,0.28,0.83
GP1BB,2.3,0.28,0.83
GPD1,-0.73,0.28,0.83
GPD1L,0.2,0.28,0.83
HELZ,0.19,0.28,0.83
HERC5,-0.27,0.28,0.83
HOXA3,-0.26,0.28,0.83
HOXB13,0.17,0.28,0.83
IDI1,-0.16,0.28,0.83
IL18R1,-0.32,0.28,0.83
IL31RA,0.38,0.28,0.83
ITFG1,-0.11,0.28,0.83
KIF2A,-0.12,0.28,0.83
LGI3,0.32,0.28,0.83
"3,00 LSM",-0.16,0.28,0.83
LYSMD4,0.21,0.28,0.83
"1,00 MAF",0.12,0.28,0.83
MCF2L,-0.47,0.28,0.83
ME3,-0.13,0.28,0.83
METTL3,-0.11,0.28,0.83
MORN4,-0.23,0.28,0.83
MTMR9LP,0.37,0.28,0.83
NACC1,0.12,0.28,0.83
OIP5,-0.21,0.28,0.83
OR10G3,-0.57,0.28,0.83
OXTR,0.34,0.28,0.83
PAX9,0.33,0.28,0.83
PDCL3,-0.11,0.28,0.83
PDE12,0.12,0.28,0.83
PDIK1L,-0.26,0.28,0.83
PEX11G,-0.28,0.28,0.83
PIH1D1,-0.11,0.28,0.83
PIK3C2B,0.29,0.28,0.83
PKD1P2,0.27,0.28,0.83
PKD1P4,0.25,0.28,0.83
PLEKHA8P1,0.27,0.28,0.83
POLDIP2,-0.087,0.28,0.83
POLR2J,0.1,0.28,0.83
PQBP1,0.11,0.28,0.83
PRDX5,0.14,0.28,0.83
PSMC3,-0.12,0.28,0.83
PTCD2,-0.17,0.28,0.83
RAB12,0.13,0.28,0.83
REV3L,0.2,0.28,0.83
RLN2,-0.56,0.28,0.83
RNF126,0.12,0.28,0.83
SCAP,0.14,0.28,0.83
SEC11A,0.11,0.28,0.83
SENP1,-0.16,0.28,0.83
SHLD2P3,0.62,0.28,0.83
SIX3,0.63,0.28,0.83
SLC10A4,0.21,0.28,0.83
SLC25A1P5,-0.37,0.28,0.83
SMIM12,0.11,0.28,0.83
SOWAHC,0.14,0.28,0.83
ST3GAL4,-0.13,0.28,0.83
STT3A,-0.11,0.28,0.83
STX12,0.18,0.28,0.83
TBC1D20,0.12,0.28,0.83
TEN1,0.21,0.28,0.83
TENT2,-0.13,0.28,0.83
TIMP3,-0.65,0.28,0.83
TMEM14B,0.12,0.28,0.83
TMEM8B,0.28,0.28,0.83
TRIM13,0.15,0.28,0.83
TRIM14,0.15,0.28,0.83
TRPV1,0.22,0.28,0.83
TUSC1,0.24,0.28,0.83
TXNRD1,0.17,0.28,0.83
UBE3D,-0.24,0.28,0.83
UQCRH,0.13,0.28,0.83
USP34,0.12,0.28,0.83
VPS35,0.1,0.28,0.83
ZDHHC21,0.15,0.28,0.83
ZNF140,-0.21,0.28,0.83
ZNF211,-0.22,0.28,0.83
ZNF22,0.24,0.28,0.83
ZNF45,-0.18,0.28,0.83
ZNF493,0.29,0.28,0.83
ZNF768,0.11,0.28,0.83
ZNF891,0.21,0.28,0.83
ARSB,-0.14,0.29,0.83
MCMDC2,0.36,0.29,0.83
NUDT14,0.18,0.29,0.83
OSBPL5,0.16,0.29,0.83
RABGAP1,0.12,0.29,0.83
RTTN,-0.15,0.29,0.83
SHISAL1,0.42,0.29,0.83
SPC24,-0.13,0.29,0.83
TTC4,-0.12,0.29,0.83
UBE2Q2P1,0.3,0.29,0.83
WDR13,0.13,0.29,0.83
ZDHHC16,-0.1,0.29,0.83
ADAM11,-0.3,0.29,0.84
ADIPOR2,-0.12,0.29,0.84
ALYREF,-0.14,0.29,0.84
APBB1IP,0.68,0.29,0.84
ARHGEF16,0.21,0.29,0.84
ATF1,0.11,0.29,0.84
BCL2L15,0.24,0.29,0.84
CACNA1I,0.61,0.29,0.84
CC2D1A,0.12,0.29,0.84
CCDC88B,0.19,0.29,0.84
CDC42SE2,0.1,0.29,0.84
CDK11B,-0.14,0.29,0.84
CEP350,0.14,0.29,0.84
CEP97,-0.14,0.29,0.84
CILK1,0.21,0.29,0.84
CMTM6,-0.12,0.29,0.84
CNTNAP3,0.14,0.29,0.84
COL5A3,-0.4,0.29,0.84
COMT,0.1,0.29,0.84
COQ10B,0.11,0.29,0.84
CYP4F22,-1.2,0.29,0.84
DCAF11,-0.1,0.29,0.84
description:cathepsin,0.35,0.29,0.84
description:CDC42,-0.34,0.29,0.84
description:Novel,-0.4,0.29,0.84
DMWD,0.16,0.29,0.84
DOCK3,0.28,0.29,0.84
EGFR,0.14,0.29,0.84
EIF1AD,-0.14,0.29,0.84
EMBP1,0.3,0.29,0.84
FAM111A,-0.16,0.29,0.84
FAM95B1,-0.69,0.29,0.84
FEZ1,-0.53,0.29,0.84
FMN1,0.27,0.29,0.84
FUT11,0.14,0.29,0.84
G3BP1,0.089,0.29,0.84
GTF2IP1,-0.2,0.29,0.84
HIVEP3,0.55,0.29,0.84
HLCS,-0.15,0.29,0.84
HOXA2,-0.51,0.29,0.84
ICE1,0.11,0.29,0.84
IDS,-0.15,0.29,0.84
IFITM2,0.17,0.29,0.84
ITGB7,0.68,0.29,0.84
KIF26A,-0.3,0.29,0.84
KIF9,0.21,0.29,0.84
KLHL7,0.11,0.29,0.84
KRR1,-0.17,0.29,0.84
LMBRD1,-0.13,0.29,0.84
MACF1,-0.18,0.29,0.84
MAGEH1,-0.23,0.29,0.84
MAPT,0.33,0.29,0.84
MCM9,0.18,0.29,0.84
MLH3,0.14,0.29,0.84
MOCS2,-0.12,0.29,0.84
MRPL27,-0.12,0.29,0.84
MRPL34,0.15,0.29,0.84
MUC20,0.37,0.29,0.84
NARS2,-0.15,0.29,0.84
NDUFA5,0.16,0.29,0.84
NFAT5,-0.11,0.29,0.84
NFKBIE,0.29,0.29,0.84
NOP10,0.099,0.29,0.84
NR1I3,-0.69,0.29,0.84
NRAS,0.1,0.29,0.84
NUDCD3,-0.086,0.29,0.84
OPTN,0.11,0.29,0.84
OR9H1P,-0.64,0.29,0.84
OSCAR,-0.52,0.29,0.84
PCDH1,-0.44,0.29,0.84
PCDH11Y,0.41,0.29,0.84
PDK3,-0.15,0.29,0.84
PDZK1,-0.28,0.29,0.84
POLR2J2,0.54,0.29,0.84
RAB22A,0.1,0.29,0.84
RAB3D,0.18,0.29,0.84
RAC1,0.14,0.29,0.84
RDH10,0.17,0.29,0.84
RHOC,-0.12,0.29,0.84
RNF213,0.18,0.29,0.84
RPS6KA6,-0.16,0.29,0.84
SAMD4B,0.16,0.29,0.84
SEPTIN7P2,-0.19,0.29,0.84
SLC16A7,0.42,0.29,0.84
SLC2A8,-0.15,0.29,0.84
SNUPN,-0.13,0.29,0.84
SPSB3,0.19,0.29,0.84
SRSF10,0.086,0.29,0.84
TC2N,-0.5,0.29,0.84
TFF1,-0.58,0.29,0.84
TLCD1,-0.15,0.29,0.84
TMEM44,0.17,0.29,0.84
TNIP3,0.65,0.29,0.84
"1,00 TOP",0.14,0.29,0.84
TPD52,-0.19,0.29,0.84
TPM3,-0.097,0.29,0.84
TRAPPC6B,0.14,0.29,0.84
TRAPPC9,0.14,0.29,0.84
TSC1,0.15,0.29,0.84
TSPAN7,-0.65,0.29,0.84
UBE2R2,0.11,0.29,0.84
UPK3BL1,-0.23,0.29,0.84
USP32P1,0.17,0.29,0.84
WASF3,0.69,0.29,0.84
YTHDF3,-0.13,0.29,0.84
ZC3H7B,0.12,0.29,0.84
ZMYM4,0.17,0.29,0.84
ZNF235,0.22,0.29,0.84
ZNF385C,0.63,0.29,0.84
ZNF616,-0.56,0.29,0.84
ZNF7,-0.14,0.29,0.84
ZNHIT1,0.087,0.29,0.84
ACADSB,0.13,0.3,0.84
ADCY9,-0.23,0.3,0.84
ATAD5,-0.14,0.3,0.84
ATOX1,0.18,0.3,0.84
ATP8B2,-0.12,0.3,0.84
BTG2,-0.18,0.3,0.84
BTN3A3,-0.42,0.3,0.84
C7orf26,0.14,0.3,0.84
CAPN15,0.14,0.3,0.84
CDH17,-0.29,0.3,0.84
CENATAC,-0.17,0.3,0.84
CHMP4B,0.12,0.3,0.84
CROCCP2,0.12,0.3,0.84
DAW1,0.5,0.3,0.84
DMKN,0.12,0.3,0.84
ENKD1,0.2,0.3,0.84
FERMT3,0.45,0.3,0.84
FGF22,0.53,0.3,0.84
GPATCH3,0.17,0.3,0.84
HCFC2,0.17,0.3,0.84
HDDC2,-0.11,0.3,0.84
KDM5C,0.1,0.3,0.84
KLB,-0.37,0.3,0.84
LFNG,0.23,0.3,0.84
LUC7L3,0.1,0.3,0.84
MPV17L,0.19,0.3,0.84
P2RY2,0.33,0.3,0.84
PDSS2,-0.14,0.3,0.84
PGBD4,0.2,0.3,0.84
PLA2G4C,-0.42,0.3,0.84
PRPH,-0.66,0.3,0.84
PTTG1IP,0.083,0.3,0.84
RAB10,-0.095,0.3,0.84
RAB36,-0.24,0.3,0.84
RAB39B,-0.38,0.3,0.84
RBM22,-0.11,0.3,0.84
SERPINA5,0.4,0.3,0.84
SIMC1,-0.19,0.3,0.84
SNX14,0.17,0.3,0.84
SYT11,0.32,0.3,0.84
TBCE,0.12,0.3,0.84
TF,0.25,0.3,0.84
TMEM265,0.91,0.3,0.84
TP53INP2,-0.24,0.3,0.84
TRA2B,-0.11,0.3,0.84
TRIM73,-0.28,0.3,0.84
ZFP82,0.25,0.3,0.84
ZMYND8,0.14,0.3,0.84
ZNF473,-0.14,0.3,0.84
ZNF581,0.17,0.3,0.84
ABRAXAS1,0.18,0.3,0.85
ACSF3,0.13,0.3,0.85
ACY3,0.36,0.3,0.85
ANKRD37,0.28,0.3,0.85
ARF3,0.1,0.3,0.85
ARHGAP5,0.13,0.3,0.85
BAX,0.091,0.3,0.85
BBS7,0.13,0.3,0.85
BTN3A2,-0.19,0.3,0.85
C15orf62,-0.5,0.3,0.85
CC2D2A,0.17,0.3,0.85
CDC42SE1,-0.1,0.3,0.85
CLIC3,-0.29,0.3,0.85
COPRS,-0.1,0.3,0.85
COPS9,0.16,0.3,0.85
CORO2A,0.21,0.3,0.85
DCTN2,-0.087,0.3,0.85
DDX10,-0.13,0.3,0.85
DDX19A,-0.096,0.3,0.85
DMBX1,0.39,0.3,0.85
EIF3D,-0.11,0.3,0.85
EIF3L,0.1,0.3,0.85
FRMD4B,-0.39,0.3,0.85
FUT4,-0.22,0.3,0.85
GPR37L1,0.44,0.3,0.85
GPR89B,0.29,0.3,0.85
GRN,0.12,0.3,0.85
GSK3A,0.11,0.3,0.85
HOXA4,-0.41,0.3,0.85
JRKL,0.17,0.3,0.85
KCNQ5,-0.6,0.3,0.85
KLHL2,-0.13,0.3,0.85
KRT5,1.2,0.3,0.85
LACTB2,0.12,0.3,0.85
LIME1,0.24,0.3,0.85
MAPRE3,0.16,0.3,0.85
MDM1,-0.19,0.3,0.85
NBPF19,0.2,0.3,0.85
NECAP2,0.12,0.3,0.85
NSFL1C,-0.086,0.3,0.85
PAK1IP1,-0.14,0.3,0.85
PDZD2,-0.46,0.3,0.85
